experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
comparison,,baseline,基线方案 (GraphRAG + LLM),1,1,,,,,,completed,,True,graphrag,5.031153202056885,8.94045352935791,28.742615938186646,8.94045352935791,19.802162408828735,10.933191776275635,2700.0,703.12,True,True,True,56.31470322608948
comparison,,ACO,蚁群算法 (Ant Colony Optimization),1,1,,,,,,completed,,True,graphrag_aco_dispatch,5.2151501178741455,10.379055261611938,10.379055261611938,10.379055261611938,0.0,10.160079002380371,2124.0,1006.4,True,True,True,73.04175519943237
comparison,,GA,遗传算法 (Genetic Algorithm),1,1,,,,,,completed,,True,graphrag_ga_dispatch,5.188695430755615,15.90471363067627,15.90471363067627,15.90471363067627,0.0,10.189957618713379,2124.0,1010.71,True,True,True,71.04641056060791
