rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
True,graphrag_ga_dispatch_failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,29.44422745704651
True,graphrag_ga_dispatch,23.833730697631836,25.76149845123291,25.76149845123291,25.76149845123291,0.0,10.152757167816162,1.0182545185089111,4.036488056182861,True,True,True,71.52228689193726
True,graphrag_ga_dispatch,6.769695043563843,14.729204177856445,14.729204177856445,14.729204177856445,0.0,10.203502178192139,3.0294530391693115,121.00759816169739,True,True,False,184.0277509689331
True,graphrag_ga_dispatch,19.324496746063232,9.416424036026001,9.416424036026001,9.416424036026001,0.0,10.15284538269043,1.016789436340332,4.034242153167725,True,True,True,51.704413414001465
True,graphrag_ga_dispatch,19.3313570022583,29.80791425704956,29.80791425704956,29.80791425704956,0.0,10.150105953216553,1.0166587829589844,4.041892766952515,True,True,True,73.08576393127441
True,graphrag_ga_dispatch,19.30958867073059,30.62214946746826,30.62214946746826,30.62214946746826,0.0,10.161511898040771,4.036625385284424,1.0179402828216553,True,True,True,72.4793074131012
True,graphrag_ga_dispatch,26.465980052947998,18.30775785446167,18.30775785446167,18.30775785446167,0.0,10.256245136260986,1.0163629055023193,1.0200467109680176,True,True,True,60.47288393974304
True,graphrag_ga_dispatch,20.051681518554688,13.283923625946045,13.283923625946045,13.283923625946045,0.0,10.152831077575684,2124.0,328.36,True,True,True,51.67297101020813
True,graphrag_ga_dispatch,5.320862770080566,9.9192636013031,9.9192636013031,9.9192636013031,0.0,10.175948143005371,2124.0,326.77,True,True,True,63.90977621078491
True,graphrag_ga_dispatch,3.593703031539917,24.351015329360962,24.351015329360962,24.351015329360962,0.0,10.16197681427002,2124.0,326.53,True,True,True,62.287980794906616
True,graphrag_ga_dispatch,3.852334976196289,11.671802520751953,11.671802520751953,11.671802520751953,0.0,10.173161029815674,2124.0,121.07080173492432,True,True,False,179.19967436790466
True,graphrag_ga_dispatch,3.669410467147827,17.05886936187744,17.05886936187744,17.05886936187744,0.0,10.145330429077148,2124.0,121.04275155067444,True,True,False,163.86828136444092
True,graphrag_ga_dispatch,3.6018757820129395,41.364994287490845,41.364994287490845,41.364994287490845,0.0,10.147507190704346,2124.0,121.07888841629028,True,True,False,188.10497665405273
True,graphrag_ga_dispatch,3.583843469619751,9.745563268661499,9.745563268661499,9.745563268661499,0.0,10.150973796844482,2124.0,121.07859539985657,True,True,False,186.75518083572388
True,graphrag_ga_dispatch,3.771939516067505,8.140906810760498,8.140906810760498,8.140906810760498,0.0,10.165345668792725,2124.0,121.05851435661316,True,True,False,154.58342289924622
True,graphrag_ga_dispatch,3.8479435443878174,54.936049461364746,54.936049461364746,54.936049461364746,0.0,10.158543586730957,2124.0,326.91,True,True,True,77.68776965141296
True,graphrag_ga_dispatch,3.7791926860809326,12.22718596458435,12.22718596458435,12.22718596458435,0.0,10.123188495635986,2124.0,327.5,True,True,True,41.85508704185486
True,graphrag_ga_dispatch,3.5970730781555176,24.364190816879272,24.364190816879272,24.364190816879272,0.0,10.164368152618408,2124.0,121.02096748352051,True,True,False,174.92036509513855
True,graphrag_ga_dispatch,3.5963706970214844,22.72904324531555,22.72904324531555,22.72904324531555,0.0,10.155322551727295,2124.0,326.79,True,True,True,44.85700273513794
True,graphrag_ga_dispatch,3.5879156589508057,6.6354804039001465,6.6354804039001465,6.6354804039001465,0.0,10.14995813369751,2124.0,121.03424119949341,True,True,False,158.64097142219543
