experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
comparison,,baseline,基线方案 (GraphRAG + LLM),1,1,,,,,,completed,,True,graphrag,5.0540244579315186,8.925288915634155,28.62922215461731,8.925288915634155,19.703933238983154,10.24587631225586,2160.0,1003.99,True,True,True,57.19818949699402
comparison,,ACO,蚁群算法 (Ant Colony Optimization),1,1,,,,,,completed,,True,graphrag_aco_dispatch,5.224937200546265,10.362804174423218,10.362804174423218,10.362804174423218,0.0,10.129163265228271,2124.0,1003.29,True,True,True,70.0325276851654
comparison,,GA,遗传算法 (Genetic Algorithm),1,1,,,,,,completed,,True,graphrag_ga_dispatch,4.978048086166382,15.90159797668457,15.90159797668457,15.90159797668457,0.0,10.154421329498291,2124.0,1006.93,True,True,True,71.88065028190613
