experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,35.50146222114563,0.0,35.50146222114563,10.237419605255127,2700.0,744.85,True,True,True,55.666741609573364
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,completed,,True,rag,0.06063532829284668,8.27376413345337,42.14746356010437,8.27376413345337,33.873699426651,10.14517068862915,2304.0,1271.52,True,True,True,64.39505195617676
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,0.07411003112792969,18.03545355796814,47.8825044631958,18.03545355796814,29.84705090522766,10.213890075683594,2448.0,0.0,True,True,True,72.15090870857239
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,4.98713231086731,14.326143026351929,30.657254695892334,14.326143026351929,16.331111669540405,10.161607265472412,2664.0,2353.62,True,True,True,57.84135842323303
