rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag_perturbed_-50%,60.06340575218201,17.93626642227173,31.38386297225952,17.93626642227173,13.447596549987793,10.173592567443848,121.13938021659851,1.0240795612335205,True,False,True,214.642404794693
True,graphrag_perturbed_-20%,60.06156945228577,24.75581455230713,37.77584743499756,24.75581455230713,13.02003288269043,10.230789184570312,121.16345953941345,1.0262744426727295,True,False,True,221.0677182674408
True,graphrag_perturbed_+0%,60.00495362281799,18.99934148788452,36.60370421409607,18.99934148788452,17.604362726211548,10.169634819030762,121.15183329582214,1.0246219635009766,True,False,True,219.81648635864258
True,graphrag_perturbed_+20%,60.03807497024536,38.67748260498047,53.370081424713135,38.67748260498047,14.692598819732666,10.18151044845581,121.15651369094849,1.0266458988189697,True,False,True,236.62657761573792
True,graphrag_perturbed_+50%,60.06293988227844,27.89775276184082,42.31384611129761,27.89775276184082,14.416093349456787,10.167813301086426,121.14670753479004,121.1466794013977,True,False,False,345.70177459716797
True,graphrag_perturbed_-50%,29.58268404006958,29.887431621551514,45.53666973114014,29.887431621551514,15.649238109588623,10.225720405578613,121.10859870910645,1.0236194133758545,True,False,True,198.28960251808167
True,graphrag_perturbed_-20%,28.08746862411499,45.735575675964355,57.6396427154541,45.735575675964355,11.904067039489746,10.168745517730713,121.1242663860321,1.0259323120117188,True,False,True,208.91026854515076
True,graphrag_perturbed_+0%,29.667891263961792,39.037760972976685,71.1703531742096,39.037760972976685,32.13259220123291,10.143194198608398,121.12379717826843,121.14407086372375,True,False,False,344.1358735561371
True,graphrag_perturbed_+20%,37.992119550704956,11.878945589065552,31.480570077896118,11.878945589065552,19.601624488830566,10.170660018920898,121.15822005271912,1.025890827178955,True,False,True,192.68614721298218
True,graphrag_perturbed_+50%,28.114832162857056,33.4665265083313,57.8295841217041,33.4665265083313,24.363057613372803,10.195953845977783,121.1370701789856,1.0243985652923584,True,False,True,209.13970613479614
