experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,23.418450593948364,0.0,23.418450593948364,10.180175304412842,2304.0,2475.4,True,True,True,48.61848783493042
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,failed,未找到顶层JSON结构,True,rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,35.829201459884644
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,0.07671356201171875,8.628352165222168,53.202579736709595,8.628352165222168,44.57422757148743,10.202834606170654,2448.0,0.0,True,True,True,76.48171424865723
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,5.1541478633880615,31.120277881622314,59.41338276863098,31.120277881622314,28.293104887008667,10.156679153442383,2520.0,183.1,True,True,True,87.76736330986023
