experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
comparison,,baseline,基线方案 (GraphRAG + LLM),1,1,,,,,,completed,,True,graphrag,3.7488396167755127,15.843687772750854,40.203259229660034,15.843687772750854,24.35957145690918,10.31991958618164,2700.0,702.05,True,True,True,66.45383667945862
comparison,,ACO,蚁群算法 (Ant Colony Optimization),1,1,,,,,,completed,,True,graphrag_aco_dispatch,4.988171339035034,31.124670267105103,31.124670267105103,31.124670267105103,0.0,10.194058418273926,2124.0,1007.18,True,True,True,82.07456707954407
comparison,,GA,遗传算法 (Genetic Algorithm),1,1,,,,,,completed,,True,graphrag_ga_dispatch,4.6494245529174805,23.036401510238647,23.036401510238647,23.036401510238647,0.0,10.17636775970459,2124.0,1005.11,True,True,True,78.04102373123169
