experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,35.46615242958069,0.0,35.46615242958069,10.206513404846191,2700.0,745.13,True,True,True,60.68627333641052
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,failed,未找到顶层JSON结构,True,rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,23.53518319129944
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,0.059290170669555664,8.860652923583984,73.9544894695282,8.860652923583984,65.09383654594421,10.15300989151001,88560.0,0.0,True,True,True,94.23295307159424
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,4.396606206893921,24.839462280273438,40.49814224243164,24.839462280273438,15.658679962158203,10.152783393859863,2664.0,2239.1,True,True,True,69.10321927070618
