experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,41.705397605895996,0.0,41.705397605895996,10.185441970825195,2304.0,1268.62,True,True,True,62.8930823802948
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,completed,,True,rag,1.329268455505371,8.43989109992981,44.23909258842468,8.43989109992981,35.79920148849487,10.15352487564087,3060.0,1871.25,True,True,True,67.76282715797424
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,1.2835938930511475,29.645294189453125,60.1276433467865,29.645294189453125,30.482349157333374,10.15817642211914,2664.0,2342.69,True,True,True,82.60546159744263
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,4.542938232421875,11.12293004989624,28.660077333450317,11.12293004989624,17.537147283554077,10.148208141326904,2448.0,0.0,True,True,True,56.396761655807495
