experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,17.041207790374756,0.0,17.041207790374756,10.231335163116455,3060.0,1870.33,True,True,True,42.250436782836914
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,failed,未找到顶层JSON结构,True,rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,28.717157125473022
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,0.0611422061920166,10.263712406158447,54.49909210205078,10.263712406158447,44.235379695892334,10.238955020904541,88560.0,0.0,True,True,True,75.77581453323364
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,3.7318246364593506,30.694629192352295,75.35969305038452,30.694629192352295,44.66506385803223,10.198369026184082,2340.0,372.72,True,True,True,101.28850150108337
