experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
ablation,ablation_no_rag_p1_r1,no_rag,无RAG (仅LLM),1,1,,,,,,completed,,False,none,0.0,0.0,44.25685095787048,0.0,44.25685095787048,10.20658254623413,2412.0,185.81,True,True,True,65.43662905693054
ablation,ablation_text_rag_p1_r1,text_rag,Text RAG (GraphRAG预处理文本单元),1,1,,,,,,completed,,True,rag,1.3018620014190674,10.805935382843018,27.38431215286255,10.805935382843018,16.57837677001953,10.183625221252441,2376.0,506.03,True,True,True,51.88504457473755
ablation,ablation_raw_text_rag_p1_r1,raw_text_rag,Raw Text RAG (原始文本),1,1,,,,,,completed,,True,raw_rag,1.356851577758789,9.18814468383789,34.11944389343262,9.18814468383789,24.931299209594727,10.17909049987793,2700.0,745.73,True,True,True,56.652220249176025
ablation,ablation_graphrag_p1_r1,graphrag,GraphRAG (知识图谱),1,1,,,,,,completed,,True,graphrag,5.02719521522522,25.26510262489319,49.1182599067688,25.26510262489319,23.85315728187561,10.153391361236572,2448.0,0.0,True,True,True,76.32238388061523
