rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag_perturbed_-50%,60.06360220909119,21.803590774536133,33.486189126968384,21.803590774536133,11.682598352432251,10.175645351409912,121.13799262046814,1.0281386375427246,True,False,True,216.74958992004395
True,graphrag_perturbed_-20%,60.06119203567505,9.804271459579468,23.990833520889282,9.804271459579468,14.186562061309814,10.149192810058594,121.11978197097778,1.0269627571105957,True,False,True,207.22783851623535
True,graphrag_perturbed_+0%,60.060399770736694,19.573892831802368,30.540515422821045,19.573892831802368,10.966622591018677,10.178170204162598,121.17104172706604,1.026423692703247,True,False,True,213.8364224433899
True,graphrag_perturbed_+20%,60.06217384338379,13.325752973556519,31.668536901474,13.325752973556519,18.34278392791748,10.183820724487305,121.15715909004211,1.0264828205108643,True,False,True,214.94917821884155
True,graphrag_perturbed_+50%,60.02286505699158,21.628730535507202,33.45241641998291,21.628730535507202,11.823685884475708,10.157995223999023,121.16653847694397,1.0250053405761719,True,False,True,216.69995999336243
True,graphrag_perturbed_-50%,22.15577006340027,35.072914600372314,46.83797287940979,35.072914600372314,11.765058279037476,10.206754207611084,121.14298748970032,1.023996353149414,True,False,True,192.19779086112976
True,graphrag_perturbed_-20%,22.14386510848999,19.31774926185608,35.51676106452942,19.31774926185608,16.19901180267334,10.171806812286377,121.13980007171631,1.023022174835205,True,False,True,180.85634875297546
True,graphrag_perturbed_+0%,22.172996997833252,34.35245060920715,46.78549027442932,34.35245060920715,12.433039665222168,10.177092552185059,121.13561224937439,1.026118516921997,True,False,True,192.15374636650085
True,graphrag_perturbed_+20%,22.128509283065796,17.09908390045166,30.54485297203064,17.09908390045166,13.44576907157898,10.166239738464355,121.13376760482788,1.021341323852539,True,False,True,175.86108946800232
True,graphrag_perturbed_+50%,22.151588678359985,15.591277599334717,40.2230167388916,15.591277599334717,24.631739139556885,10.306897163391113,121.12221670150757,1.0214316844940186,True,False,True,185.5654788017273
