rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag,60.01575779914856,41.12194275856018,57.82632064819336,41.12194275856018,16.70437788963318,10.164227485656738,121.13844132423401,1.0245003700256348,True,False,True,241.03811883926392
True,graphrag,60.05016589164734,7.3755199909210205,18.7953097820282,7.3755199909210205,11.419789791107178,10.171012878417969,121.16224026679993,121.15892148017883,True,False,False,322.1989984512329
True,graphrag,60.059502840042114,23.643245220184326,38.43494248390198,23.643245220184326,14.791697263717651,10.185403823852539,121.16158676147461,121.15871667861938,True,False,False,341.8538327217102
True,graphrag,18.65096139907837,75.7291989326477,87.01726341247559,75.7291989326477,11.28806447982788,10.240864753723145,121.12926483154297,1.024395227432251,True,False,True,228.86230945587158
True,graphrag,33.27521586418152,20.28013563156128,30.573392152786255,20.28013563156128,10.293256521224976,10.160062313079834,121.11238956451416,1.0310328006744385,True,False,True,187.02423119544983
True,graphrag,30.639424324035645,20.67502212524414,46.201221227645874,20.67502212524414,25.526199102401733,10.20237684249878,121.13738179206848,1.0349938869476318,True,False,True,200.04913759231567
True,graphrag,21.34553337097168,47.7771680355072,58.77998161315918,47.7771680355072,11.002813577651978,10.160355567932129,121.14247369766235,1.0336363315582275,True,False,True,203.33457946777344
True,graphrag,26.940061569213867,12.841286182403564,22.57965636253357,12.841286182403564,9.738370180130005,10.15160322189331,121.09218525886536,1.017514705657959,True,False,True,172.66086864471436
True,graphrag,25.144549131393433,12.068711996078491,26.575588703155518,12.068711996078491,14.506876707077026,10.22139310836792,121.11969804763794,1.030749797821045,True,False,True,174.90825748443604
True,graphrag,30.51073169708252,9.084449291229248,20.741307020187378,9.084449291229248,11.65685772895813,-1,-1,-1,False,False,False,231.44665670394897
True,graphrag,6.97726845741272,30.8518488407135,48.39444851875305,30.8518488407135,17.54259967803955,10.21298885345459,2.0219879150390625,1.016174077987671,True,True,True,59.447594165802
True,graphrag,19.300957202911377,12.079925298690796,33.064897298812866,12.079925298690796,20.98497200012207,10.196421146392822,5.039477825164795,1.0148377418518066,True,True,True,59.45668363571167
True,graphrag,19.403339862823486,10.516523122787476,27.295008659362793,10.516523122787476,16.778485536575317,10.275697708129883,3.0334384441375732,1.0155761241912842,True,True,True,51.79188394546509
True,graphrag,19.257248640060425,12.868592977523804,27.72930097579956,12.868592977523804,14.860707998275757,10.179030895233154,1.021150827407837,1.0193026065826416,True,True,True,50.06322479248047
True,graphrag,21.121955633163452,12.785792350769043,27.294544219970703,12.785792350769043,14.50875186920166,10.260288715362549,2.02793025970459,1.0194690227508545,True,True,True,52.5065815448761
True,graphrag,7.0179526805877686,8.804866313934326,24.882896900177002,8.804866313934326,16.078030586242676,10.25099515914917,1.0170691013336182,1.0175142288208008,True,True,True,34.97949504852295
True,graphrag,21.352664470672607,10.46233868598938,24.530224800109863,10.46233868598938,14.067886114120483,10.217037200927734,5.040872812271118,121.04269576072693,True,True,False,173.00631546974182
True,graphrag,20.578408002853394,9.109127283096313,23.971424341201782,9.109127283096313,14.862297058105469,10.426018238067627,2448.0,280.74,True,True,True,47.654540061950684
True,graphrag,21.314953327178955,26.37079381942749,43.43307852745056,26.37079381942749,17.06228470802307,10.289623737335205,2448.0,150.26,True,True,True,69.84206795692444
True,graphrag,3.577929735183716,22.751362800598145,43.87531590461731,22.751362800598145,21.123953104019165,10.341384410858154,2412.0,121.0487174987793,True,True,False,170.57048916816711
True,graphrag,3.5936529636383057,12.908324241638184,37.122589349746704,12.908324241638184,24.21426510810852,10.212955474853516,2664.0,527.33,True,True,True,44.797451972961426
True,graphrag,3.5880212783813477,16.795614004135132,32.28077840805054,16.795614004135132,15.485164403915405,10.266008377075195,2448.0,121.05298900604248,True,True,False,160.99658942222595
True,graphrag,3.4029016494750977,18.581246614456177,31.083073377609253,18.581246614456177,12.501826763153076,10.27493953704834,2664.0,522.79,True,True,True,40.58716607093811
True,graphrag,3.5985665321350098,14.091726303100586,64.48969960212708,14.091726303100586,50.39797329902649,10.213055610656738,2052.0,121.09366035461426,True,True,False,192.2407946586609
True,graphrag,3.593369960784912,23.7462637424469,53.99537992477417,23.7462637424469,30.24911618232727,10.258500576019287,3060.0,724.56,True,True,True,64.69481015205383
