rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
True,graphrag,6.1311774253845215,12.47775387763977,39.946481466293335,12.47775387763977,27.468727588653564,10.151755809783936,1.0169751644134521,4.033675909042358,True,True,True,52.161702156066895
True,graphrag,28.851820945739746,9.16428828239441,24.304139614105225,9.16428828239441,15.139851331710815,10.15108585357666,3.0292158126831055,1.0239229202270508,True,True,True,58.23408842086792
True,graphrag_aco_dispatch,20.385916233062744,36.91022610664368,36.91022610664368,36.91022610664368,0.0,10.162782669067383,2.0238606929779053,1.018373966217041,True,True,True,97.38897514343262
True,graphrag_aco_dispatch,19.317721843719482,33.900543451309204,33.900543451309204,33.900543451309204,0.0,10.155365467071533,4.031485080718994,1.0149941444396973,True,True,True,73.17240715026855
True,graphrag_aco_dispatch,6.781927585601807,19.172825813293457,19.172825813293457,19.172825813293457,0.0,10.212621688842773,1.0186209678649902,1.0179409980773926,True,True,True,51.702369689941406
True,graphrag_aco_dispatch,22.476997137069702,23.59765386581421,23.59765386581421,23.59765386581421,0.0,10.16249418258667,5.044919013977051,121.05435180664062,True,True,False,188.27408409118652
True,graphrag_aco_dispatch,20.408907413482666,20.184828519821167,20.184828519821167,20.184828519821167,0.0,10.182833671569824,1.019519329071045,4.034913539886475,True,True,True,62.2169406414032
True,graphrag_aco_dispatch,20.099464654922485,10.471199989318848,10.471199989318848,10.471199989318848,0.0,10.202457904815674,2124.0,326.78,True,True,True,59.45086455345154
True,graphrag_aco_dispatch,23.93849277496338,17.718130111694336,17.718130111694336,17.718130111694336,0.0,10.193278789520264,2124.0,327.64,True,True,True,61.891597032547
True,graphrag_aco_dispatch,3.5919721126556396,7.847664833068848,7.847664833068848,7.847664833068848,0.0,10.164356231689453,2124.0,121.05394434928894,True,True,False,182.59063053131104
True,graphrag_aco_dispatch,3.5923304557800293,11.238769769668579,11.238769769668579,11.238769769668579,0.0,10.167388916015625,2124.0,326.9,True,True,True,48.130143880844116
True,graphrag_aco_dispatch,3.4036450386047363,17.228943824768066,17.228943824768066,17.228943824768066,0.0,10.163748264312744,2124.0,326.92,True,True,True,48.0456702709198
True,graphrag_aco_dispatch,3.3510851860046387,8.89709997177124,8.89709997177124,8.89709997177124,0.0,10.160143375396729,2124.0,327.03,True,True,True,63.68898391723633
True,graphrag_aco_dispatch,3.589721202850342,15.66478705406189,15.66478705406189,15.66478705406189,0.0,10.21648645401001,2124.0,121.06756114959717,True,True,False,159.51101756095886
True,graphrag_aco_dispatch,3.6000897884368896,48.6849160194397,48.6849160194397,48.6849160194397,0.0,10.160245895385742,2124.0,121.0260751247406,True,True,False,203.18233585357666
