experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
comparison,,baseline,基线方案 (GraphRAG + LLM),1,1,,,,,,completed,robot: ReadTimeout | truck: ReadTimeout | uav: ReadTimeout,True,graphrag,5.068767547607422,14.294886112213135,34.61267685890198,14.294886112213135,20.317790746688843,-1,-1,-1,False,False,False,100.03675174713135
comparison,,ACO,蚁群算法 (Ant Colony Optimization),1,1,,,,,,completed,robot: ReadTimeout | truck: ReadTimeout | uav: ReadTimeout,True,graphrag_aco_dispatch,4.501183032989502,15.286816358566284,15.286816358566284,15.286816358566284,0.0,-1,-1,-1,False,False,False,94.95531892776489
comparison,,GA,遗传算法 (Genetic Algorithm),1,1,,,,,,completed,robot: ReadTimeout | truck: ReadTimeout | uav: ReadTimeout,True,graphrag_ga_dispatch,5.301076650619507,10.996464014053345,10.996464014053345,10.996464014053345,0.0,-1,-1,-1,False,False,False,112.95183944702148
